#prefecture,p2022,p2010
Aichi,7497521,7414098
Akita,929937,1097626
Tokushima,703745,789269
Toyama,1016323,1095217
Hokkaido,5139522,5517449
Niigata,2152664,2383650
Oita,1106294,1197220
Tokyo,14040732,12988797
Okayama,1862012,1943655
Ishikawa,1117827,1166656
Tottori,543615,591150
Kagawa,933758,1000169
Kagoshima,1562310,1711746
Hyogo,5403823,5599359
Gunma,1913236,2006903
Kanagawa,9232794,9005176
Iwate,1180512,1340852
Kochi,675710,767520
Kyoto,2550404,2631441
Mie,1742703,1862575
Miyazaki,1051771,1132768
Kumamoto,1717766,1815985
Nagano,2020497,2160602
Shimane,657842,720112
Fukui,752976,808589
Miyagi,2279554,2340029
Fukuoka,5117967,5066856
Fukushima,1789221,2042816
Nagasaki,1282571,1432236
Gifu,1945350,2086590
Hiroshima,2759702,2866571
Tochigi,1908380,2010732
Wakayama,903172,1005710
Yamagata,1040971,1179964
Okinawa,1468634,1385725
Saitama,7337173,7170362
Yamanashi,801620,869132
Shiga,1409388,1402132
Yamaguchi,1312950,1456800
Aomori,1204372,1382637
Chiba,6275278,6183743
Nara,1305981,1400951
Osaka,8787414,8840372
Ibaraki,2841084,2967404
Saga,800511,852825
Shizuoka,3582194,3787982
Ehime,1306165,1437549
